Number,Arabic,Romanized Arabic,English
158,حول,ḥawl,about / around
159,كثير,kathīr,many / much
160,ثم,thumma,then
161,هم,hum,them
162,إرسال,irsāl,send / writing
163,أراد,arāda,would / wanted
164,مثل,mithl,like
165,هكذا,hakadhā,so / thus
166,هؤلاء,hā’ulā’,these
167,لها,lahā,her
168,طويل,ṭawīl,long / tall
169,جعل,ja‘ala,make
170,شيء,shay’,thing
171,شاهد,shāhada,see / watch
172,له,lahu,him / his
173,اثنين,ithnayn,two
174,لديه,ladayhi,has
175,بحث,baḥatha,look / search
176,أكثر,akthar,more
177,يوم,yawm,day
178,يمكن,yumkin,could / can
179,تذهب,tadhhab,go
180,جاء,jā’a,come
181,لم,lam,did not
182,عدد,‘adad,number
183,صوت,ṣawt,sound / voice
184,لا,lā,no / not
185,أكثر,akthar,most / more
186,الناس,al-nās,people
187,لي,lī,my / to me
188,على,‘alā,on / over
189,تعرف,ta‘rif,know
190,ماء,mā’,water
191,من,min,than / from
192,دعوة,da‘wa,call / invitation
193,الأول,al-awwal,first
194,الذي,alladhī,who / which
195,قد,qad,may / might
196,إلى,ilā,down / to (contextual)
197,الجانب,al-jānib,side
198,كان,kāna,been / was
199,الآن,al-ān,now
200,اكتشاف,iktishāf,find / discovery
201,رئيس,ra’īs,head / leader
202,الوقوف,al-wuqūf,stand
203,الخاصة,al-khāṣa,own / private
204,الصفحة,al-ṣafḥa,page
205,ينبغي,yanbaghī,should / ought to
206,بلد,balad,country
207,أسس,assasa,founded / established
208,الجواب,al-jawāb,answer
209,المدرسة,al-madrasa,school
210,تنمو,tanmū,grow
211,دراسة,dirāsa,study
212,لا يزال,lā yazāl,still
213,تعلم,ta‘allam,learn
214,مصنع,maṣna‘,plant / factory
215,غطاء,ghiṭā’,cover
216,غذاء,ghidhā’,food
217,شمس,shams,sun
218,أربعة,arba‘a,four
219,بين,bayna,between
220,دولة,dawla,state / country
221,احتفظ,iḥtafaẓ,keep
222,العين,al-‘ayn,eye
223,أبدا,abadan,never
224,آخر,ākhir,last / other
225,سمح,samaḥa,let / allow
226,يعتقد,ya‘taqid,thought / believes
227,المدينة,al-madīna,city
228,شجرة,shajara,tree
229,عبور,‘ubūr,cross
230,مزرعة,mazra‘a,farm
231,شاق,shāqq,hard / difficult
232,بداية,bidāya,start / beginning
233,قد,qad,might / may
234,قصة,qiṣṣa,story
235,منشار,minshār,saw (tool)
236,الآن,al-ān,now
237,بحر,baḥr,sea
238,رسم,rasm,draw / drawing
239,غادر,ghādara,left / departed
240,متأخر,muta’akhkhir,late
241,تشغيل,tashghīl,run / operation
242,لا,lā,don’t / no
243,في حين,fī ḥīn,while
244,الصحافة,al-ṣaḥāfa,press / journalism
245,قريب,qarīb,close / near
246,الليل,al-layl,night
247,حقيقية,ḥaqīqiyya,real
248,حياة,ḥayāh,life
249,قليل,qalīl,few / little
250,شمال,shamāl,north
251,كتاب,kitāb,book
252,حمل,ḥamala,carry
253,استغرق,istaġraqa,took / lasted
254,علم,‘ilm,science / knowledge
255,أكل,akala,eat
256,غرفة,ghurfa,room
257,صديق,ṣadīq,friend
258,بدأ,bada’a,began
259,فكرة,fikra,idea
260,سمك,samak,fish
261,الجبل,al-jabal,mountain
262,توقف,tawakkafa,stop
263,مرة واحدة,marra wāḥida,once
264,قاعدة,qā‘ida,base / rule
265,سمع,sami‘a,hear
266,الحصان,al-ḥiṣān,horse
267,قطع,qaṭa‘a,cut
268,بالتأكيد,bil-ta’kīd,sure / certainly
269,راقب,rāqaba,watch / observe
270,لون,lawn,color
271,وجه,wajh,face
272,الخشب,al-khashab,wood
273,رئيسي,ra’īsī,main / primary
274,مفتوحة,maftūḥa,open
275,يبدو,yabdū,seem / appear
276,معا,ma‘an,together
277,المقبل,al-muqbil,next / upcoming
278,أبيض,abyaḍ,white
279,الأطفال,al-aṭfāl,children
280,بدأ,bada’a,begin / started
281,حصلت,ḥaṣalat,got / obtained
282,سير,sayr,walk / path
283,مثال,mithāl,example
284,سهولة,suhūla,ease
285,ورق,waraq,paper
286,مجموعة,majmū‘a,group
287,دائما,dā’iman,always
288,الموسيقى,al-mūsīqā,music
289,تلك,tilka,those
290,كلا,kilā,both
291,علامة,‘alāma,mark / sign
292,غالبا,ghāliban,often
293,الرسالة,al-risāla,letter / message
294,حتى,ḥattā,until
295,ميل,mīl,mile / inclination
296,النهر,al-nahr,river
297,سيارة,sayyāra,car
298,قدم,qadam,feet / foot
299,الرعاية,al-ri‘āya,care
300,ثان,thānī,second
301,بما فيه الكفاية,bimaa fīhi al-kifāyah,enough
302,سهل,sahl,plain
303,فتاة,fatāh,girl
304,معتاد,muʿtād,usual
305,الشباب,al-shabāb,young
306,جاهزة,jāhizah,ready
307,فوق,fawq,above
308,أبدا,abadan,ever
309,أحمر,aḥmar,red
310,قائمة,qā’imah,list
311,على الرغم من,ʿalā al-raġm min,though
312,إحساس,iḥsās,feel
313,الحديث,al-ḥadīth,talk
314,طائر,ṭā’ir,bird
315,قريبا,qarīban,soon
316,هيئة,hay’ah,body
317,الكلب,al-kalb,dog
318,عائلة,ʿā’ilah,family
319,مباشر,mubāshir,direct
320,أربك,arbak,pose
321,ترك,taraka,leave
322,أغنية,uġniyah,song
323,قياس,qiyās,measure
324,باب,bāb,door
325,نتاج,nitāj,product
326,أسود,aswad,black
327,قصير,qaṣīr,short
328,الأرقام,al-arqām,numeral
329,الفئة,al-fi’ah,class
330,الرياح,al-riyāḥ,wind
331,السؤال,al-su’āl,question
332,يحدث,yaḥduth,happen
333,كاملة,kāmilah,complete
334,سفينة,safīnah,ship
335,منطقة,minṭaqah,area
336,نصف,niṣf,half
337,صخرة,ṣakhrah,rock
338,النظام,al-niẓām,order
339,النار,al-nār,fire
340,الجنوب,al-janūb,south
341,مشكلة,mushkilah,problem
342,قطعة,qiṭʿah,piece
343,قال,qāl,told
344,عرف,ʿarafa,knew
345,تمر,tamur,pass
346,منذ,mundhu,since
347,أعلى,aʿlā,top
348,ككل,kakull,whole
349,ملك,malik,king
350,شارع,shāriʿ,street
351,بوصة,bawsah,inch
352,مضاعفة,muḍāʿafah,multiply
353,لا شيء,lā shay’,nothing
354,بالطبع,bi-al-ṭabʿ,course
355,إقامة,iqāmah,stay
356,عجلة,ʿajalah,wheel
357,كامل,kāmil,full
358,قوة,quwwah,force
359,الأزرق,al-azraq,blue
360,موضوع,mawḍūʿ,object
361,تقرر,taqarrar,decide
362,سطح,saṭḥ,surface
363,عميق,ʿamīq,deep
364,ضوء القمر,ḍaw’ al-qamar,moon
365,الجزيرة,al-jazīrah,island
366,القدم,al-qadam,foot
367,نظام,niẓām,system
368,مشغول,mashghūl,busy
369,اختبار,ikhtibār,test
370,سجل,sijill,record
371,قارب,qārib,boat
372,مشترك,mushtarak,common
373,الذهب,al-dhahab,gold
374,ممكن,mumkin,possible
375,طائرة,ṭā’irah,plane
376,بدلا,badalan,stead
377,جاف,jāf,dry
378,عجب,ʿajab,wonder
379,الضحك,al-ḍaḥik,laugh
380,ألف,alf,thousand
381,منذ,mundhu,ago
382,ركض,rakad,ran
383,تحقق,taḥaqqaq,check
384,لعبة,luʿbah,game
385,شكل,shakl,shape
386,مساواة,musāwāh,equate
387,حار,ḥār,hot
388,ملكة جمال,malikat jamāl,miss
389,جلبت,jalabat,brought
390,حرارة,ḥarārah,heat
391,ثلج,thalj,snow
392,إطار العجلة,iṭār al-ʿajalah,tire
393,جلب,jalaba,bring
394,نعم,naʿam,yes
395,بعيد,baʿīd,distant
396,شغل,shughl,fill
397,الشرق,al-sharq,east
398,الطلاء,al-ṭilā’,paint
399,اللغة,al-lughah,language
400,بين,bayn,among
401,وحدة,waḥdah,unit
402,قوة,quwwah,power
403,مدينة,madīnah,town
404,غرامة,gharāmah,fine
405,معين,muʿayyan,certain
406,يطير,yaṭīr,fly
407,سقط,saqaṭa,fall
408,قيادة,qiyādah,lead
409,صرخة,ṣarkhah,cry
410,مظلم,muẓlim,dark
411,آلة,ālah,machine
412,مذكرة,mudhakkarah,note
413,انتظر,intazar,wait
414,خطة,khuṭṭah,plan
415,الرقم,al-raqam,figure
416,نجمة,najmah,star
417,صندوق,ṣundūq,box
418,إسم,ism,noun
419,الحقل,al-ḥaql,field
420,بقية,baqiyyah,rest
421,صحيح,ṣaḥīḥ,correct
422,قادرة,qādirah,able
423,الجنيه,al-junaih,pound
424,منجز,munjaz,done
425,الجمال,al-jamāl,beauty
426,محرك,muḥarrik,drive
427,وقفت,waqafat,stood
428,تحتوي على,taḥtawī ʿalā,contain
429,الجبهة,al-jabhah,front
430,تعليم,taʿlīm,teach
431,أسبوع,usbūʿ,week
432,نهائي,nihā’ī,final
433,أعطى,aʿṭā,gave
434,الأخضر,al-akhdar,green
435,يا,yā,oh
436,سريع,sarīʿ,quick
437,تطوير,taṭwīr,develop
438,المحيط,al-muḥīṭ,ocean
439,الحارة,al-ḥārah,warm
440,حر,ḥurr,free
441,دقيقة,daqīqah,minute
442,قوي,qawī,strong
443,خاص,khāṣ,special
444,عقل,ʿaql,mind
445,خلف,khalf,behind
446,واضح,wāḍiḥ,clear
447,ذيل,dhayl,tail
448,إنتاج,intāj,produce
449,حقيقة,ḥaqīqah,fact
450,الفضاء,al-faḍā’,space
451,سمعت,samiʿt,heard
452,أفضل,afḍal,best
453,ساعة,sāʿah,hour
454,أفضل,abṭal,better
455,صحيح,ṣaḥīḥ,TRUE
456,خلال,khilāl,during
457,مائة,mi’ah,hundred
458,خمسة,khamsah,five
459,تذكر,tadhakkar,remember
460,خطوة,khuṭwah,step
461,في وقت مبكر,fī waqt mubakkir,early
462,عقد,ʿaqd,hold
463,غرب,gharb,west
464,أرض,arḍ,ground
465,مصلحة,maṣlaḥah,interest
466,الوصول,al-wuṣūl,reach
467,بسرعة,bisurʿah,fast
468,الفعل,al-fiʿl,verb
469,الغناء,al-ghinā’,sing
470,استمع,istamaʿ,listen
471,ستة,sittah,six
472,الجدول,al-jadwal,table
473,السفر,al-safar,travel
474,أقل,aqall,less
475,الصباح,al-ṣabāḥ,morning
476,عشرة,ʿashrah,ten
477,بسيطة,basīṭah,simple
478,عدة,ʿiddah,several
479,حرف لين,ḥarf layyin,vowel
480,نحو,naḥw,toward
481,حرب,ḥarb,war
482,وضع,waḍaʿa,lay
483,ضد,ḍidd,against
484,نمط,namaṭ,pattern
485,بطيئة,baṭī’ah,slow
486,مركز,markaz,center
487,الحب,al-ḥubb,love
488,شخص,shakhs,person
489,المال,al-māl,money
490,خدمة,khidmah,serve
491,تظهر,taẓhar,appear
492,طريق,ṭarīq,road
493,خريطة,kharīṭah,map
494,مطر,maṭar,rain
495,حكم,ḥukm,rule
496,الحكم,al-ḥukm,govern
497,سحب,saḥab,pull
498,بارد,bārid,cold
499,إشعار,ishʿār,notice
500,صوت,ṣawt,voice
501,الطاقة,al-ṭāqah,energy
502,مطاردة,muṭāradah,hunt
503,محتمل,muḥtamal,probable
504,قاع,qāʿ,bed
505,شقيق,shaqīq,brother
506,البيض,al-bayḍ,egg
507,ركوب,rukūb,ride
508,خلية,khaliyyah,cell
509,اعتقد,iʿtaqad,believe
510,ربما,rubbamā,perhaps
511,اختيار,ikhtiyār,pick
512,مفاجئ,mufāji’,sudden
513,عد,ʿadd,count
514,مربع,murabbaʿ,square
515,سبب,sabab,reason
516,طول,ṭūl,length
517,تمثيل,tamthīl,represent
518,فن,fann,art
519,الموضوع,al-mawḍūʿ,subject
520,منطقة,minṭaqah,region
521,حجم,ḥajm,size
522,تختلف,takhtalif,vary
523,حل,ḥall,settle
524,الكلام,al-kalām,speak
525,الوزن,al-wazn,weight
526,عام,ʿām,general
527,الجليد,al-jalīd,ice
528,مسألة,mas’alah,matter
529,دائرة,dā’irah,circle
530,زوج,zawj,pair
531,تضمن,taḍamman,include
532,الفجوة,al-fajwah,divide
533,مقطع لفظي,maqṭaʿ lafẓī,syllable
534,شعر,shaʿar,felt
535,الكبرى,al-kubrā,grand
536,كرة,kurah,ball
537,بعد,baʿd,yet
538,موجة,mawjah,wave
539,إسقاط,isqāṭ,drop
540,قلب,qalb,heart
541,صباحا,ṣabāḥan,am
542,الحاضر,al-ḥāḍir,present
543,ثقيلة,thaqīlah,heavy
544,رقص,raqṣ,dance
545,محرك,muḥarrik,engine
546,موقف,mawqif,position
547,الذراع,al-dhirāʿ,arm
548,واسع,wāsiʿ,wide
549,الشراع,al-shirāʿ,sail
550,مادة,māddah,material
551,جزء,juz’,fraction
552,الغابات,al-ghābāt,forest
553,الجلوس,al-julūs,sit
554,سباق,sibāq,race
555,نافذة,nāfidhah,window
556,متجر,matjar,store
557,الصيف,al-ṣayf,summer
558,قطار,qiṭār,train
559,نوم,nawm,sleep
560,إثبات,ithbāt,prove
561,وحيد,waḥīd,lone
562,الساق,al-sāq,leg
563,ممارسة,mumārāsah,exercise
564,جدار,jidār,wall
565,مزلاج,mizlāj,catch
566,جبل,jabal,mount
567,رغب,raghiba,wish
568,سماء,samā’,sky
569,مجلس الإدارة,majlis al-idārah,board
570,الفرح,al-faraḥ,joy
571,شتاء,shitā’,winter
572,السبت,al-sabt,sat
573,مكتوبة,maktūbah,written
574,بري,barrī,wild
575,أداة,adāh,instrument
576,أبقى,abqā,kept
577,زجاج,zujāj,glass
578,العشب,al-ʿushb,grass
579,بقرة,baqarah,cow
580,العمل,al-ʿamal,job
581,حافة,ḥāfah,edge
582,علامة,ʿalāmah,sign
583,زيارة,ziyārah,visit
584,الماضي,al-māḍī,past
585,لينة,layyinah,soft
586,مرح,marḥ,fun
587,مشرق,mushriq,bright
588,الغاز,al-ghāz,gas
589,الطقس,al-ṭaqs,weather
590,شهر,shahr,month
591,مليون,milyūn,million
592,تحمل,taḥammal,bear
593,نهاية,nihāyah,finish
594,سعيدة,saʿīdah,happy
595,نأمل,na’mul,hope
596,زهرة,zahrāh,flower
597,كسا,kasā,clothe
598,غريب,gharib,strange
599,ذهب,dhahab,gone
600,تجارة,tijārah,trade
601,لحن,laḥn,melody
602,رحلة,riḥlah,trip
603,مكتب,maktab,office
604,تلقي,talaqqī,receive
605,الصف,al-ṣaff,row
606,فم,fam,mouth
607,بالضبط,bil-ḍabṭ,exact
608,رمز,ramz,symbol
609,مات,māt,die
610,الأقل,al-aqall,least
611,مشكلة,mushkilah,trouble
612,صيحة,ṣayḥah,shout
613,إلا,illā,except
614,كتب,kataba,wrote
615,بذرة,bidhrah,seed
616,نغمة,naghmah,tone
617,انضمام,inḍimām,join
618,اقترح,iqtaraḥa,suggest
619,نظيف,naẓīf,clean
620,استراحة,istirāḥah,break
621,سيدة,sayyidah,lady
622,ساحة,sāḥah,yard
623,الارتفاع,al-irtifāʿ,rise
624,سيئة,sayyi’ah,bad
625,ضربة,ḍarbah,blow
626,زيت,zayt,oil
627,الدم,al-dam,blood
628,لمس,lamasa,touch
629,نما,namā,grew
630,المائة,al-mi’ah,cent
631,مزيج,mazīj,mix
632,فريق,farīq,team
633,سلك,silk,wire
634,التكلفة,al-taklufah,cost
635,فقدت,faqadat,lost
636,أسمر,asmar,brown
637,ارتداء,irtidā’,wear
638,حديقة,ḥadīqah,garden
639,متساو,mutasāw,equal
640,أرسلت,arsalt,sent
641,اختيار,ikhtiyār,choose
642,سقط,saqaṭa,fell
643,تناسب,tanāsab,fit
644,تدفق,tadaffuq,flow
645,عادل,ʿādil,fair
646,البنك,al-bank,bank
647,جمع,jamaʿa,collect
648,حفظ,ḥafiẓa,save
649,السيطرة,al-sayṭarah,control
650,العشري,al-ʿashrī,decimal
651,إذن,idhn,ear
652,آخر,ākhir,else
653,تماما,tamāman,quite
654,حطم,ḥaṭṭama,broke
655,حالة,ḥālah,case
656,وسط,wasaṭ,middle
657,قتل,qatala,kill
658,ابن,ibn,son
659,بحيرة,buḥayrah,lake
660,لحظة,laḥẓah,moment
661,على نطاق و,ʿalā niṭāq wāsiʿ,scale
662,بصوت عال,biṣawtin ʿālin,loud
663,الربيع,al-rabīʿ,spring
664,رصد,raṣada,observe
665,طفل,ṭifl,child
666,مباشرة,mubāsharatan,straight
667,متوافق,mutawāfiq,consonant
668,الأمة,al-ummah,nation
669,قاموس,qāmūs,dictionary
670,حليب,ḥalīb,milk
671,السرعة,al-surʿah,speed
672,طريقة,ṭarīqah,method
673,عضو,ʿuḍw,organ
674,دفع,dafaʿa,pay
675,العمر,al-ʿumr,age
676,القسم,al-qism,section
677,فستان,fustān,dress
678,سحابة,saḥābah,cloud
679,مفاجأة,mufāja’ah,surprise
680,هادئ,hādi’,quiet
681,حجر,ḥajar,stone
682,صغير,ṣaghīr,tiny
683,تسلق,tasallaqa,climb
684,بارد,bārid,cool
685,تصميم,taṣmīm,design
686,فقير,faqīr,poor
687,الكثير,al-kathīr,lot
688,تجربة,tajribah,experiment
689,أسفل,asfal,bottom
690,مفتاح,miftāḥ,key
691,حديد,ḥadīd,iron
692,احد,aḥad,single
693,عصا,ʿaṣā,stick
694,شقة,shaqqah,flat
695,عشرون,ʿishrūn,twenty
696,الجلد,al-jild,skin
697,الابتسامة,al-ibtisāmah,smile
698,تجعد,tajʿad,crease
699,حفرة,ḥufrah,hole
700,القفزة,al-qafzah,jump
701,طفل,ṭifl,baby
702,ثمانية,thamāniyah,eight
703,قرية,qaryah,village
704,تلبية,talbiyah,meet
705,الجذر,al-jadhr,root
706,شراء,shirā’,buy
707,رفع,rafaʿa,raise
708,حل,ḥalla,solve
709,المعادن,al-maʿādin,metal
710,سواء,sawā’,whether
711,دفع,dafaʿa,push
712,سبعة,sabʿah,seven
713,فقرة,faqrah,paragraph
714,الثالث,al-thālith,third
715,يجب,yajibu,shall
716,عقدت,ʿuqidat,held
717,الشعر,al-shaʿr,hair
718,وصف,waṣafa,describe
719,طبخ,ṭabkha,cook
720,الطابق,al-ṭābiq,floor
721,كل,kull,either
722,نتيجة,natījah,result
723,حرق,ḥaraqa,burn
724,التل,al-till,hill
725,آمنة,āminah,safe
726,القط,al-qiṭṭ,cat
727,القرن,al-qarn,century
728,النظر,al-naẓar,consider
729,نوع,nawʿ,type
730,القانون,al-qānūn,law
731,لقمة,luqmah,bit
732,الساحل,al-sāḥil,coast
733,نسخة,nuskhah,copy
734,العبارة,al-ʿibārah,phrase
735,الصمت,al-ṣamt,silent
736,طويل,ṭawīl,tall
737,رمل,raml,sand
738,التربة,al-turbah,soil
739,لفة,laffah,roll
740,درجة الحرارة,darajat al-ḥarārah,temperature
741,إصبع,iṣbaʿ,finger
742,صناعة,ṣināʿah,industry
743,قيمة,qīmah,value
744,المعركة,al-maʿrakah,fight
745,كذبة,kidhbah,lie
746,فوز,fawz,beat
747,أثار,athāra,excite
748,طبيعي,ṭabīʿī,natural
749,رأي,ra’y,view
750,المعنى,al-maʿnā,sense
751,العاصمة,al-ʿāṣimah,capital
752,سوف لا,sawfa lā,won’t
753,كرسي,kursī,chair
754,خطر,khaṭar,danger
755,الفاكهة,al-fākihah,fruit
756,غني,ghaniyy,rich
757,سميك,samīk,thick
758,جندي,jundī,soldier
759,عملية,ʿamaliyyah,process
760,العمل,al-ʿamal,operate
761,ممارسة,mumārasa,practice
762,منفصلة,munfaṣilah,separate
763,الصعب,al-ṣaʿb,difficult
764,الطبيب,al-ṭabīb,doctor
765,الرجاء,al-rajā’,please
766,حماية,ḥimāyah,protect
767,ظهرا,ẓuhran,noon
768,محصول,maḥṣūl,crop
769,الحديث,al-ḥadīth,modern
770,عنصر,ʿunṣur,element
771,ضرب,ḍaraba,hit
772,طالب,ṭālib,student
773,ركن,rukn,corner
774,حزب,ḥizb,party
775,تزويد,tazwīd,supply
776,الذي,alladhī,whose
777,حدد,ḥaddada,locate
778,عصابة,ʿiṣābah,ring
779,حرف,ḥarf,character
780,الحشرة,al-ḥasharah,insect
781,اشتعلت,ishtaʿalat,caught
782,فترة,fatrah,period
783,تشير,tushīr,indicate
784,راديو,rādyū,radio
785,وتحدث,wa taḥaddatha,spoke
786,ذرة,dharrah,atom
787,بشري,basharī,human
788,التاريخ,al-tārīkh,history
789,تأثير,ta’thīr,effect
790,كهربائي,kahrabā’ī,electric
791,توقع,tawakkaʿa,expect
792,العظام,al-ʿiẓām,bone
793,سكة حديدية,sikkah ḥadīdiyyah,rail
794,تخيل,takhayyala,imagine
795,توفير,tawfīr,provide
796,توافق,tawāfuq,agree
797,وبالتالي,wa bi-ttālī,thus
798,لطيف,laṭīf,gentle
799,امرأة,imra’ah,woman
800,نقيب,naqīb,captain
801,تخمين,takhmeen,guess
802,الضرورة,ad-darura,necessary
803,حاد,haad,sharp
804,جناح,janaah,wing
805,خلق,khalaq,create
806,الجيران,al-jeeran,neighbor
807,غسل,ghasal,wash
808,خفاش,khuffaash,bat
809,بالأحرى,bil-ahra,rather
810,الحشد,al-hashd,crowd
811,الذرة,adh-dhura,corn
812,مقارنة,muqarana,compare
813,قصيدة,qaseeda,poem
814,سلسلة,silsila,string
815,جرس,jaras,bell
816,تعتمد,ta‘tamid,depend
817,اللحوم,al-luhum,meat
818,فرك,fark,rub
819,أنبوب,anboob,tube
820,الشهيرة,ash-shaheera,famous
821,الدولار,ad-dollar,dollar
822,تيار,tayyar,stream
823,خوف,khawf,fear
824,مشهد,mashhad,sight
825,رقيق,raqeeq,thin
826,مثلث,muthallath,triangle
827,كوكب,kawkab,planet
828,عجل,‘ajjal,hurry
829,رئيس,ra’eess,chief
830,مستعمرة,musta‘mara,colony
831,على مدار الساعة,‘ala madar as-sa‘a,clock
832,منجم,manjam,mine
833,ربطة عنق,rabtat ‘unuq,tie
834,دخول,dukhool,enter
835,الرئيسية,ar-ra’eesiya,major
836,جديدة,jadeeda,fresh
837,البحث,al-bahth,search
838,إرسال,irsaal,send
839,الأصفر,al-asfar,yellow
840,بندقية,bunduqiya,gun
841,السماح,as-samah,allow
842,طباعة,tiba‘a,print
843,ميت,mayyit,dead
844,بقعة,buq‘a,spot
845,صحراء,sahra’,desert
846,دعوى,da‘wa,suit
847,التيار,at-tayyar,current
848,رفع,rafa‘a,lift
849,ارتفع,irtafa‘a,rose
850,وصول,wusool,arrive
851,سيد,sayyid,master
852,المسار,al-masaar,track
853,الأم,al-umm,parent
854,الشاطئ,ash-shati’,shore
855,تقسيم,taqseem,division
856,ورقة,waraqah,sheet
857,مادة,maadda,substance
858,صالح,saalih,favor
859,اتصال,ittisaal,connect
860,آخر,aakhir,post
861,أنفق,anfaqa,spend
862,وتر,watar,chord
863,دهن,duhn,fat
864,سعيد,sa‘eed,glad
865,الأصلي,al-asli,original
866,حصة,hissa,share
867,محطة,mahatta,station
868,أب,ab,dad
869,الخبز,al-khubz,bread
870,تهمة,tuhama,charge
871,السليم,as-saleem,proper
872,شريط,shareet,bar
873,العرض,al-‘ard,offer
874,قطاع,qita‘,segment
875,الرقيق,ar-raqeeq,slave
876,بط,batt,duck
877,لحظة,lahza,instant
878,سوق,sooq,market
879,درجة,daraja,degree
880,أهل,ahl,populate
881,كتكوت,katkoot,chick
882,عزيزتي,‘azeezati,dear
883,العدو,al-‘adu,enemy
884,الرد,ar-radd,reply
885,شراب,sharaab,drink
886,تحدث,tahaddath,occur
