,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Arabic,Romanized Arabic,English
109,109,126,128,128,128,128,129,فقط,faqaṭ,just / only
110,110,127,129,129,129,129,130,شكل,shakl,form / shape
111,111,128,130,130,130,130,131,عقوبة,‘uqūba,sentence / punishment
112,112,129,132,132,132,132,133,اعتقد,i‘taqad,think / believe
113,113,130,133,133,133,133,134,قول,qawl,say / statement
114,114,131,134,134,134,134,135,مساعدة,musā‘ada,help
115,115,132,135,135,135,135,136,منخفض,munkhafiḍ,low
116,116,133,136,136,136,136,137,خط,khaṭṭ,line
117,117,134,137,137,137,137,138,اختلف,ikhtalafa,differ
118,118,135,138,138,138,138,139,منعطف,muna‘ṭaf,turn / bend
119,119,136,139,139,139,139,140,السبب,al-sabab,cause / reason
120,120,137,140,140,140,140,141,كثيرا,kathīran,much / a lot
121,121,138,141,141,141,141,142,متوسط,mutawassiṭ,mean / average
122,122,139,142,142,142,142,143,قبل,qabla,before
123,123,140,143,143,143,143,144,خطوة,khuṭwa,move / step
124,124,141,144,144,144,144,145,الحق,al-ḥaqq,right / truth
125,125,142,145,145,145,145,146,صبي,ṣabī,boy
126,126,143,146,146,146,146,147,قديم,qadīm,old
127,127,144,147,147,147,147,148,أيضا,ayḍan,too / also
128,128,145,148,148,148,148,149,نفسه,nafsahu,same / himself
129,129,146,149,149,149,149,150,هي,hiya,she
130,130,147,150,150,150,150,151,كل,kull,all
131,131,148,151,151,151,151,152,هناك,hunāk,there
132,132,149,152,152,152,152,153,عندما,‘indamā,when
133,133,150,153,153,153,153,154,فوق,fawq,up / above
134,134,151,154,154,154,154,155,استخدام,istiqdām / isti‘māl,use
135,135,152,155,155,155,155,156,ك,ka / ki,your (as prefix or particle)
136,136,153,156,156,156,156,157,طريق,ṭarīq,way / road
137,137,154,157,157,157,157,158,حول,ḥawl,about / around
138,138,155,158,158,158,158,159,كثير,kathīr,many / much
139,139,156,159,159,159,159,160,ثم,thumma,then
140,140,158,161,161,161,161,162,إرسال,irsāl,send / writing
141,141,159,162,162,162,162,163,أراد,arāda,would / wanted
142,142,160,163,163,163,163,164,مثل,mithl,like
143,143,161,164,164,164,164,165,هكذا,hakadhā,so / thus
144,144,162,165,165,165,165,166,هؤلاء,hā’ulā’,these
145,145,163,166,166,166,166,167,لها,lahā,her
146,146,164,167,167,167,167,168,طويل,ṭawīl,long / tall
147,147,165,168,168,168,168,169,جعل,ja‘ala,make
148,148,166,169,169,169,169,170,شيء,shay’,thing
149,150,168,171,171,171,171,172,له,lahu,him / his
150,151,169,172,172,172,172,173,اثنين,ithnayn,two
151,152,170,173,173,173,173,174,لديه,ladayhi,has
152,153,172,175,175,175,175,176,أكثر,akthar,more
153,154,173,176,176,176,176,177,يوم,yawm,day
154,155,174,177,177,177,177,178,يمكن,yumkin,could / can
155,156,175,178,178,178,178,179,تذهب,tadhhab,go
156,157,176,179,179,179,179,180,جاء,jā’a,come
157,158,177,180,180,180,180,181,لم,lam,did not
158,159,178,181,181,181,181,182,عدد,‘adad,number
159,160,179,182,182,182,182,183,صوت,ṣawt,sound / voice
160,161,180,183,183,183,183,184,لا,lā,no / not
161,162,181,184,184,184,184,185,أكثر,akthar,most / more
162,163,182,185,185,185,185,186,الناس,al-nās,people
163,164,183,186,186,186,186,187,لي,lī,my / to me
164,165,184,187,187,187,187,188,على,‘alā,on / over
165,166,185,188,188,188,188,189,تعرف,ta‘rif,know
166,167,186,189,189,189,189,190,ماء,mā’,water
167,168,187,190,190,190,190,191,من,min,than / from
168,169,188,191,191,191,191,192,دعوة,da‘wa,call / invitation
169,170,189,192,192,192,192,193,الأول,al-awwal,first
170,171,190,193,193,193,193,194,الذي,alladhī,who / which
171,172,191,194,194,194,194,195,قد,qad,may / might
172,173,192,195,195,195,195,196,إلى,ilā,down / to (contextual)
173,174,193,196,196,196,196,197,الجانب,al-jānib,side
174,175,194,197,197,197,197,198,كان,kāna,been / was
175,176,195,198,198,198,198,199,الآن,al-ān,now
176,177,196,199,199,199,199,200,اكتشاف,iktishāf,find / discovery
177,178,197,200,200,200,200,201,رئيس,ra’īs,head / leader
178,179,198,201,201,201,201,202,الوقوف,al-wuqūf,stand
179,180,199,202,202,202,202,203,الخاصة,al-khāṣa,own / private
180,181,200,203,203,203,203,204,الصفحة,al-ṣafḥa,page
181,182,201,204,204,204,204,205,ينبغي,yanbaghī,should / ought to
182,183,202,205,205,205,205,206,بلد,balad,country
183,184,203,206,206,206,206,207,أسس,assasa,founded / established
184,185,204,207,207,207,207,208,الجواب,al-jawāb,answer
185,186,205,208,208,208,208,209,المدرسة,al-madrasa,school
186,187,206,209,209,209,209,210,تنمو,tanmū,grow
187,188,207,210,210,210,210,211,دراسة,dirāsa,study
188,189,208,211,211,211,211,212,لا يزال,lā yazāl,still
189,190,209,212,212,212,212,213,تعلم,ta‘allam,learn
190,191,210,213,213,213,213,214,مصنع,maṣna‘,plant / factory
191,192,211,214,214,214,214,215,غطاء,ghiṭā’,cover
192,193,212,215,215,215,215,216,غذاء,ghidhā’,food
193,194,213,216,216,216,216,217,شمس,shams,sun
194,195,214,217,217,217,217,218,أربعة,arba‘a,four
195,196,215,218,218,218,218,219,بين,bayna,between
196,197,216,219,219,219,219,220,دولة,dawla,state / country
197,198,217,220,220,220,220,221,احتفظ,iḥtafaẓ,keep
198,199,218,221,221,221,221,222,العين,al-‘ayn,eye
199,200,219,222,222,222,222,223,أبدا,abadan,never
200,201,220,223,223,223,223,224,آخر,ākhir,last / other
201,202,221,224,224,224,224,225,سمح,samaḥa,let / allow
202,203,222,225,225,225,225,226,يعتقد,ya‘taqid,thought / believes
203,204,223,226,226,226,226,227,المدينة,al-madīna,city
204,205,224,227,227,227,227,228,شجرة,shajara,tree
205,206,225,228,228,228,228,229,عبور,‘ubūr,cross
206,207,226,229,229,229,229,230,مزرعة,mazra‘a,farm
207,208,227,230,230,230,230,231,شاق,shāqq,hard / difficult
208,209,228,231,231,231,231,232,بداية,bidāya,start / beginning
209,210,229,232,232,232,232,233,قد,qad,might / may
210,211,230,233,233,233,233,234,قصة,qiṣṣa,story
211,212,231,234,234,234,234,235,منشار,minshār,saw (tool)
212,213,232,235,235,235,235,236,الآن,al-ān,now
213,214,233,236,236,236,236,237,بحر,baḥr,sea
214,215,234,237,237,237,237,238,رسم,rasm,draw / drawing
215,216,235,238,238,238,238,239,غادر,ghādara,left / departed
216,217,236,239,239,239,239,240,متأخر,muta’akhkhir,late
217,218,237,240,240,240,240,241,تشغيل,tashghīl,run / operation
218,219,238,241,241,241,241,242,لا,lā,don’t / no
219,220,239,242,242,242,242,243,في حين,fī ḥīn,while
220,221,240,243,243,243,243,244,الصحافة,al-ṣaḥāfa,press / journalism
221,222,241,244,244,244,244,245,قريب,qarīb,close / near
222,223,242,245,245,245,245,246,الليل,al-layl,night
223,224,243,246,246,246,246,247,حقيقية,ḥaqīqiyya,real
224,225,244,247,247,247,247,248,حياة,ḥayāh,life
225,226,245,249,249,249,249,250,شمال,shamāl,north
226,227,246,250,250,250,250,251,كتاب,kitāb,book
227,228,247,251,251,251,251,252,حمل,ḥamala,carry
228,229,248,252,252,252,252,253,استغرق,istaġraqa,took / lasted
229,230,249,253,253,253,253,254,علم,‘ilm,science / knowledge
230,231,250,254,254,254,254,255,أكل,akala,eat
231,232,251,255,255,255,255,256,غرفة,ghurfa,room
232,233,252,256,256,256,256,257,صديق,ṣadīq,friend
233,234,253,257,257,257,257,258,بدأ,bada’a,began
234,235,254,258,258,258,258,259,فكرة,fikra,idea
235,236,255,259,259,259,259,260,سمك,samak,fish
236,237,256,260,260,260,260,261,الجبل,al-jabal,mountain
237,238,257,261,261,261,261,262,توقف,tawakkafa,stop
238,239,258,262,262,262,262,263,مرة واحدة,marra wāḥida,once
239,240,259,263,263,263,263,264,قاعدة,qā‘ida,base / rule
240,241,261,265,265,265,265,266,الحصان,al-ḥiṣān,horse
241,242,262,266,266,266,266,267,قطع,qaṭa‘a,cut
242,243,263,267,267,267,267,268,بالتأكيد,bil-ta’kīd,sure / certainly
243,244,264,268,268,268,268,269,راقب,rāqaba,watch / observe
244,245,265,269,269,269,269,270,لون,lawn,color
245,246,266,270,270,270,270,271,وجه,wajh,face
246,247,267,271,271,271,271,272,الخشب,al-khashab,wood
247,248,268,272,272,272,272,273,رئيسي,ra’īsī,main / primary
248,249,269,273,273,273,273,274,مفتوحة,maftūḥa,open
249,250,270,274,274,274,274,275,يبدو,yabdū,seem / appear
250,251,271,275,275,275,275,276,معا,ma‘an,together
251,252,272,276,276,276,276,277,المقبل,al-muqbil,next / upcoming
252,253,273,277,277,277,277,278,أبيض,abyaḍ,white
253,254,274,278,278,278,278,279,الأطفال,al-aṭfāl,children
254,255,275,279,279,279,279,280,بدأ,bada’a,begin / started
255,256,276,280,280,280,280,281,حصلت,ḥaṣalat,got / obtained
256,257,277,281,281,281,281,282,سير,sayr,walk / path
257,258,278,282,282,282,282,283,مثال,mithāl,example
258,259,279,283,283,283,283,284,سهولة,suhūla,ease
259,260,280,284,284,284,284,285,ورق,waraq,paper
260,261,281,285,285,285,285,286,مجموعة,majmū‘a,group
261,262,282,286,286,286,286,287,دائما,dā’iman,always
262,263,283,287,287,287,287,288,الموسيقى,al-mūsīqā,music
263,264,284,288,288,288,288,289,تلك,tilka,those
264,265,285,289,289,289,289,290,كلا,kilā,both
265,266,286,290,290,290,290,291,علامة,‘alāma,mark / sign
266,267,287,291,291,291,291,292,غالبا,ghāliban,often
267,268,288,292,292,292,292,293,الرسالة,al-risāla,letter / message
268,269,289,293,293,293,293,294,حتى,ḥattā,until
269,270,290,294,294,294,294,295,ميل,mīl,mile / inclination
270,271,291,295,295,295,295,296,النهر,al-nahr,river
271,272,292,296,296,296,296,297,سيارة,sayyāra,car
272,273,293,297,297,297,297,298,قدم,qadam,feet / foot
273,274,294,298,298,298,298,299,الرعاية,al-ri‘āya,care
274,275,295,299,299,299,299,300,ثان,thānī,second
275,276,296,300,300,300,300,301,بما فيه الكفاية,bimaa fīhi al-kifāyah,enough
276,277,297,301,301,301,301,302,سهل,sahl,plain
277,278,298,302,302,302,302,303,فتاة,fatāh,girl
278,279,299,303,303,303,303,304,معتاد,muʿtād,usual
279,280,300,304,304,304,304,305,الشباب,al-shabāb,young
280,281,301,305,305,305,305,306,جاهزة,jāhizah,ready
281,282,302,306,306,306,306,307,فوق,fawq,above
282,283,303,307,307,307,307,308,أبدا,abadan,ever
283,284,304,308,308,308,308,309,أحمر,aḥmar,red
284,285,305,309,309,309,309,310,قائمة,qā’imah,list
285,286,306,310,310,310,310,311,على الرغم من,ʿalā al-raġm min,though
286,287,307,311,311,311,311,312,إحساس,iḥsās,feel
287,288,308,312,312,312,312,313,الحديث,al-ḥadīth,talk
288,289,309,313,313,313,313,314,طائر,ṭā’ir,bird
289,290,310,314,314,314,314,315,قريبا,qarīban,soon
290,291,311,315,315,315,315,316,هيئة,hay’ah,body
291,292,312,316,316,316,316,317,الكلب,al-kalb,dog
292,293,313,317,317,317,317,318,عائلة,ʿā’ilah,family
293,294,314,318,318,318,318,319,مباشر,mubāshir,direct
294,295,315,319,319,319,319,320,أربك,arbak,pose
295,296,316,320,320,320,320,321,ترك,taraka,leave
296,297,318,322,322,322,322,323,قياس,qiyās,measure
297,298,319,323,323,323,323,324,باب,bāb,door
298,299,320,324,324,324,324,325,نتاج,nitāj,product
299,300,321,325,325,325,325,326,أسود,aswad,black
300,301,322,326,326,326,326,327,قصير,qaṣīr,short
301,302,323,327,327,327,327,328,الأرقام,al-arqām,numeral
302,303,324,328,328,328,328,329,الفئة,al-fi’ah,class
303,304,325,329,329,329,329,330,الرياح,al-riyāḥ,wind
304,305,326,330,330,330,330,331,السؤال,al-su’āl,question
305,306,327,331,331,331,331,332,يحدث,yaḥduth,happen
306,307,328,332,332,332,332,333,كاملة,kāmilah,complete
307,308,329,333,333,333,333,334,سفينة,safīnah,ship
308,309,330,334,334,334,334,335,منطقة,minṭaqah,area
309,310,331,335,335,335,335,336,نصف,niṣf,half
310,311,332,336,336,336,336,337,صخرة,ṣakhrah,rock
311,312,333,337,337,337,337,338,النظام,al-niẓām,order
312,313,334,338,338,338,338,339,النار,al-nār,fire
313,314,335,339,339,339,339,340,الجنوب,al-janūb,south
314,315,336,340,340,340,340,341,مشكلة,mushkilah,problem
315,316,337,341,341,341,341,342,قطعة,qiṭʿah,piece
316,317,338,342,342,342,342,343,قال,qāl,told
317,318,339,343,343,343,343,344,عرف,ʿarafa,knew
318,319,340,344,344,344,344,345,تمر,tamur,pass
319,320,341,345,345,345,345,346,منذ,mundhu,since
320,321,342,346,346,346,346,347,أعلى,aʿlā,top
321,322,343,347,347,347,347,348,ككل,kakull,whole
322,323,344,348,348,348,348,349,ملك,malik,king
323,324,345,349,349,349,349,350,شارع,shāriʿ,street
324,325,346,350,350,350,350,351,بوصة,bawsah,inch
325,326,347,351,351,351,351,352,مضاعفة,muḍāʿafah,multiply
326,327,348,352,352,352,352,353,لا شيء,lā shay’,nothing
327,328,349,353,353,353,353,354,بالطبع,bi-al-ṭabʿ,course
328,329,350,354,354,354,354,355,إقامة,iqāmah,stay
329,330,351,355,355,355,355,356,عجلة,ʿajalah,wheel
330,331,352,356,356,356,356,357,كامل,kāmil,full
331,332,353,357,357,357,357,358,قوة,quwwah,force
332,333,354,358,358,358,358,359,الأزرق,al-azraq,blue
333,334,355,360,360,360,360,361,تقرر,taqarrar,decide
334,335,356,361,361,361,361,362,سطح,saṭḥ,surface
335,336,357,362,362,362,362,363,عميق,ʿamīq,deep
336,337,358,363,363,363,363,364,ضوء القمر,ḍaw’ al-qamar,moon
337,338,359,364,364,364,364,365,الجزيرة,al-jazīrah,island
338,339,360,365,365,365,365,366,القدم,al-qadam,foot
339,340,361,366,366,366,366,367,نظام,niẓām,system
340,341,362,367,367,367,367,368,مشغول,mashghūl,busy
341,342,363,368,368,368,368,369,اختبار,ikhtibār,test
342,343,364,369,369,369,369,370,سجل,sijill,record
343,344,365,370,370,370,370,371,قارب,qārib,boat
344,345,366,371,371,371,371,372,مشترك,mushtarak,common
345,346,367,372,372,372,372,373,الذهب,al-dhahab,gold
346,347,368,373,373,373,373,374,ممكن,mumkin,possible
347,348,369,374,374,374,374,375,طائرة,ṭā’irah,plane
348,349,370,375,375,375,375,376,بدلا,badalan,stead
349,350,371,376,376,376,376,377,جاف,jāf,dry
350,351,372,377,377,377,377,378,عجب,ʿajab,wonder
351,352,373,378,378,378,378,379,الضحك,al-ḍaḥik,laugh
352,353,374,379,379,379,379,380,ألف,alf,thousand
353,354,375,380,380,380,380,381,منذ,mundhu,ago
354,355,376,381,381,381,381,382,ركض,rakad,ran
355,356,377,382,382,382,382,383,تحقق,taḥaqqaq,check
356,357,378,383,383,383,383,384,لعبة,luʿbah,game
357,358,379,384,384,384,384,385,شكل,shakl,shape
358,359,380,385,385,385,385,386,مساواة,musāwāh,equate
359,360,381,386,386,386,386,387,حار,ḥār,hot
360,361,382,387,387,387,387,388,ملكة جمال,malikat jamāl,miss
361,362,383,388,388,388,388,389,جلبت,jalabat,brought
362,363,384,389,389,389,389,390,حرارة,ḥarārah,heat
363,364,385,390,390,390,390,391,ثلج,thalj,snow
364,365,386,391,391,391,391,392,إطار العجلة,iṭār al-ʿajalah,tire
365,366,387,392,392,392,392,393,جلب,jalaba,bring
366,367,388,394,394,394,394,395,بعيد,baʿīd,distant
367,368,389,395,395,395,395,396,شغل,shughl,fill
368,369,390,396,396,396,396,397,الشرق,al-sharq,east
369,370,391,397,397,397,397,398,الطلاء,al-ṭilā’,paint
370,371,392,398,398,398,398,399,اللغة,al-lughah,language
371,372,393,399,399,399,399,400,بين,bayn,among
372,373,394,400,400,400,400,401,وحدة,waḥdah,unit
373,374,395,401,401,401,401,402,قوة,quwwah,power
374,375,396,402,402,402,402,403,مدينة,madīnah,town
375,376,397,403,403,403,403,404,غرامة,gharāmah,fine
376,377,398,404,404,404,404,405,معين,muʿayyan,certain
377,378,399,405,405,405,405,406,يطير,yaṭīr,fly
378,379,400,406,406,406,406,407,سقط,saqaṭa,fall
379,380,401,407,407,407,407,408,قيادة,qiyādah,lead
380,381,402,408,408,408,408,409,صرخة,ṣarkhah,cry
381,382,403,409,409,409,409,410,مظلم,muẓlim,dark
382,383,404,410,410,410,410,411,آلة,ālah,machine
383,384,405,411,411,411,411,412,مذكرة,mudhakkarah,note
384,385,406,412,412,412,412,413,انتظر,intazar,wait
385,386,407,413,413,413,413,414,خطة,khuṭṭah,plan
386,387,408,414,414,414,414,415,الرقم,al-raqam,figure
387,388,409,415,415,415,415,416,نجمة,najmah,star
388,389,410,416,416,416,416,417,صندوق,ṣundūq,box
389,390,411,417,417,417,417,418,إسم,ism,noun
390,391,412,418,418,418,418,419,الحقل,al-ḥaql,field
391,392,413,419,419,419,419,420,بقية,baqiyyah,rest
392,393,414,420,420,420,420,421,صحيح,ṣaḥīḥ,correct
393,394,415,421,421,421,421,422,قادرة,qādirah,able
394,395,416,422,422,422,422,423,الجنيه,al-junaih,pound
395,396,417,423,423,423,423,424,منجز,munjaz,done
396,397,418,424,424,424,424,425,الجمال,al-jamāl,beauty
397,398,419,425,425,425,425,426,محرك,muḥarrik,drive
398,399,420,426,426,426,426,427,وقفت,waqafat,stood
399,400,421,427,427,427,427,428,تحتوي على,taḥtawī ʿalā,contain
400,401,422,428,428,428,428,429,الجبهة,al-jabhah,front
401,402,423,429,429,429,429,430,تعليم,taʿlīm,teach
402,403,424,430,430,430,430,431,أسبوع,usbūʿ,week
403,404,425,431,431,431,431,432,نهائي,nihā’ī,final
404,405,426,432,432,432,432,433,أعطى,aʿṭā,gave
405,406,427,433,433,433,433,434,الأخضر,al-akhdar,green
406,407,428,434,434,434,434,435,يا,yā,oh
407,408,429,435,435,435,435,436,سريع,sarīʿ,quick
408,409,430,436,436,436,436,437,تطوير,taṭwīr,develop
409,410,431,437,437,437,437,438,المحيط,al-muḥīṭ,ocean
410,411,432,438,438,438,438,439,الحارة,al-ḥārah,warm
411,412,433,439,439,439,439,440,حر,ḥurr,free
412,413,434,440,440,440,440,441,دقيقة,daqīqah,minute
413,414,435,441,441,441,441,442,قوي,qawī,strong
414,415,436,442,442,442,442,443,خاص,khāṣ,special
415,416,437,443,443,443,443,444,عقل,ʿaql,mind
416,417,438,444,444,444,444,445,خلف,khalf,behind
417,418,439,445,445,445,445,446,واضح,wāḍiḥ,clear
418,419,440,446,446,446,446,447,ذيل,dhayl,tail
419,420,441,447,447,447,447,448,إنتاج,intāj,produce
420,421,442,448,448,448,448,449,حقيقة,ḥaqīqah,fact
421,422,443,449,449,449,449,450,الفضاء,al-faḍā’,space
422,423,444,450,450,450,450,451,سمعت,samiʿt,heard
423,424,445,451,451,451,451,452,أفضل,afḍal,best
424,425,446,452,452,452,452,453,ساعة,sāʿah,hour
425,426,447,453,453,453,453,454,أفضل,abṭal,better
426,427,448,454,454,454,454,455,صحيح,ṣaḥīḥ,TRUE
427,428,449,455,455,455,455,456,خلال,khilāl,during
428,429,450,456,456,456,456,457,مائة,mi’ah,hundred
429,430,451,457,457,457,457,458,خمسة,khamsah,five
430,431,452,458,458,458,458,459,تذكر,tadhakkar,remember
431,432,453,459,459,459,459,460,خطوة,khuṭwah,step
432,433,454,460,460,460,460,461,في وقت مبكر,fī waqt mubakkir,early
433,434,455,461,461,461,461,462,عقد,ʿaqd,hold
434,435,456,462,462,462,462,463,غرب,gharb,west
435,436,457,463,463,463,463,464,أرض,arḍ,ground
436,437,458,464,464,464,464,465,مصلحة,maṣlaḥah,interest
437,438,459,465,465,465,465,466,الوصول,al-wuṣūl,reach
438,439,460,466,466,466,466,467,بسرعة,bisurʿah,fast
439,440,461,467,467,467,467,468,الفعل,al-fiʿl,verb
440,441,462,468,468,468,468,469,الغناء,al-ghinā’,sing
441,442,463,469,469,469,469,470,استمع,istamaʿ,listen
442,443,464,470,470,470,470,471,ستة,sittah,six
443,444,466,472,472,472,472,473,السفر,al-safar,travel
444,445,467,473,473,473,473,474,أقل,aqall,less
445,446,469,476,476,476,476,477,بسيطة,basīṭah,simple
446,447,470,477,477,477,477,478,عدة,ʿiddah,several
447,448,471,478,478,478,478,479,حرف لين,ḥarf layyin,vowel
448,449,472,479,479,479,479,480,نحو,naḥw,toward
449,450,473,480,480,480,480,481,حرب,ḥarb,war
450,451,474,481,481,481,481,482,وضع,waḍaʿa,lay
451,452,475,482,482,482,482,483,ضد,ḍidd,against
452,453,476,483,483,483,483,484,نمط,namaṭ,pattern
453,454,478,485,485,485,485,486,مركز,markaz,center
454,455,479,486,486,486,486,487,الحب,al-ḥubb,love
455,456,480,487,487,487,487,488,شخص,shakhs,person
456,457,481,488,488,488,488,489,المال,al-māl,money
457,458,482,489,489,489,489,490,خدمة,khidmah,serve
458,459,483,490,490,490,490,491,تظهر,taẓhar,appear
459,460,484,491,491,491,491,492,طريق,ṭarīq,road
460,461,485,492,492,492,492,493,خريطة,kharīṭah,map
461,462,486,493,493,493,493,494,مطر,maṭar,rain
462,463,487,494,494,494,494,495,حكم,ḥukm,rule
463,464,488,495,495,495,495,496,الحكم,al-ḥukm,govern
464,465,489,496,496,496,496,497,سحب,saḥab,pull
465,466,490,497,497,497,497,498,بارد,bārid,cold
466,467,491,498,498,498,498,499,إشعار,ishʿār,notice
